DESCRIPTION,coicop,Notes,daña el ambiente,no saludable,genero,gasolina,cerveza,licores,tabaco y cigarrillos,vehículos,alimentos,estupefacientes,cuidado,medicamentos,impuestos rosa,usado exclusivamente por mujeres,rol de género femenino,infantiles,para hombres,prefix,vat,"vat, min","vat, max",prefix vat,azucar y/o hiperprocesamiento
"Suero costeï¿½o, queso crema, crema agria",1149905,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Natas para consumo en el hogar,1149906,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Postres lï¿½cteos para consumo en el hogar,1149907,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
Bebidas lï¿½cteas saborizadas no achocolatadas (avena) para consumo en el hogar,1149908,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
"Aceite de girasol, maï¿½z, soya y palma",1150101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Aceite de oliva ,1150102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Otros aceites comestibles: canola, cacahuete, coco, almendras, dietï¿½ticos, etc.",1150199,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Mantequilla de vaca ,1150201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Margarinas ,1150301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Manteca vegetal,1159901,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Manteca de cerdo,1159902,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Otras grasas y aceites (aceite de pescado y otros animales marinos, mantequilla de manï¿½)",1159999,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Naranjas,1160101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Limones,1160102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Mandarinas,1160103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Toronjas,1160104,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Limas,1160105,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cidras,1160106,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Bananos,1160107,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Manzanas,1160108,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Peras,1160109,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Melones,1160110,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Mango,1160111,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Guayabas,1160112,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Guanï¿½banas,1160113,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Zapotes,1160114,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Tamarindo,1160115,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Tomate de ï¿½rbol,1160116,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Moras,1160117,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Curubas,1160118,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Maracuyï¿½,1160119,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Lulos,1160120,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Patilla o sandï¿½a,1160121,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Granadillas,1160122,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Piï¿½a,1160123,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Papaya,1160124,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Papayuela,1160125,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Uvas (verdes y rojas),1160126,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Fresas,1160127,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cocos,1160128,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Albaricoques,1160129,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Brevas,1160130,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Duraznos,1160131,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Chontaduros,1160132,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Ciruelas,1160133,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Aguacate,1160134,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Mangostino,1160135,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Kiwi,1160136,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Feijoa,1160137,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Higo,1160138,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Chirimoya,1160139,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Otras frutas frescas ,1160199,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Frutas congeladas o en pulpa,1160201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Almendras y otras nueces (manï¿½, cacahuete, pistacho, etc) para consumo en el hogar",1160301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Frutas deshidratadas y cristalizadas: peras, uvas y ciruelas pasas, etc para consumo en el hogar",1160302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Frutas en conserva: melocotï¿½n, piï¿½a, brevas, lychees, etc. para consumo en el hogar",1160401,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
Tomate,1170101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cebolla cabezona,1170102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Cebolla larga o en rama (bermuda, junca)",1170103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cebollin  ,1170104,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Zanahoria,1170105,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Remolacha,1170106,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Pepino Cohombro,1170107,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Pimentï¿½n,1170108,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Pepino para guisar o rellenar,1170109,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Nabos,1170110,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Rï¿½banos,1170111,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Ajos,1170112,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Ajï¿½,1170113,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Lechuga,1170114,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Espinaca,1170115,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Acelga,1170116,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Repollo, Repollitas",1170117,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Coliflor,1170119,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Brï¿½coli  ,1170120,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Coles (tallos),1170121,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Apio en rama,1170122,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Alcachofas ,1170123,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Espï¿½rragos ,1170124,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Ahuyama,1170125,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Calabaza,1170126,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Calabacï¿½n,1170127,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Frï¿½jol verde en vaina ,1170128,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Frï¿½jol verde desgranado,1170129,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Arveja verde en vaina,1170130,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Arveja verde desgranada,1170131,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Habas verdes en vaina ,1170132,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Habas verdes desgranadas,1170133,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Habichuelas,1170134,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Mazorcas y maï¿½z dulce para consumo en el hogar,1170135,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Berenjenas,1170136,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
