,description,coicop,"VAT Holiday",vat,"vat, min","vat, max",Notes
141,"Almendras y otras nueces (man�, cacahuete, pistacho, etc) para consumo en el hogar",1160301,0,"0,19","0,19","0,19",
142,"Frutas deshidratadas y cristalizadas: peras, uvas y ciruelas pasas, etc para consumo en el hogar",1160302,0,"0,19","0,19","0,19",
143,"Frutas en conserva: melocot�n, pi�a, brevas, lychees, etc. para consumo en el hogar",1160401,0,"0,19","0,19","0,19",
144,Tomate,1170101,0,0,0,0,
145,"Cebolla cabezona",1170102,0,0,0,0,
146,"Cebolla larga o en rama (bermuda, junca)",1170103,0,0,0,0,
147,"Cebollin  ",1170104,0,0,0,0,
148,Zanahoria,1170105,0,0,0,0,
149,Remolacha,1170106,0,0,0,0,
150,"Pepino Cohombro",1170107,0,0,0,0,
151,Piment�n,1170108,0,0,0,0,
152,"Pepino para guisar o rellenar",1170109,0,0,0,0,
153,Nabos,1170110,0,0,0,0,
154,R�banos,1170111,0,0,0,0,
155,Ajos,1170112,0,0,0,0,
156,Aj�,1170113,0,0,0,0,
157,Lechuga,1170114,0,0,0,0,
158,Espinaca,1170115,0,0,0,0,
159,Acelga,1170116,0,0,0,0,
160,"Repollo, Repollitas",1170117,0,0,0,0,
161,Coliflor,1170119,0,0,0,0,
162,"Br�coli  ",1170120,0,0,0,0,
163,"Coles (tallos)",1170121,0,0,0,0,
164,"Apio en rama",1170122,0,0,0,0,
165,"Alcachofas ",1170123,0,0,0,0,
166,"Esp�rragos ",1170124,0,0,0,0,
167,Ahuyama,1170125,0,0,0,0,
168,Calabaza,1170126,0,0,0,0,
169,Calabac�n,1170127,0,0,0,0,
170,"Fr�jol verde en vaina ",1170128,0,0,0,0,
171,"Fr�jol verde desgranado",1170129,0,0,0,0,
172,"Arveja verde en vaina",1170130,0,0,0,0,
173,"Arveja verde desgranada",1170131,0,0,0,0,
174,"Habas verdes en vaina ",1170132,0,0,0,0,
175,"Habas verdes desgranadas",1170133,0,0,0,0,
176,Habichuelas,1170134,0,0,0,0,
177,"Mazorcas y ma�z dulce para consumo en el hogar",1170135,0,0,0,0,
178,Berenjenas,1170136,0,0,0,0,
179,"Champi�ones y otros hongos comestibles para consumo en el hogar",1170137,0,0,0,0,
180,"Verduras frescas amarradas (macitos de la costa atl�ntica)",1170139,0,0,0,0,
181,"Ensalada o Verduras picadas en bandeja, en bolsa o tarro (revuelto verde) para consumo en el hogar",1170140,0,0,0,0,
182,"Otras verduras y leguminosas frescas: berros, chachafruto, algas comestibles, etc",1170199,0,0,0,0,
183,"Fr�jol seco: bolaroja, cargamanto, guarzo, guandul, zaragoza, blanquillo, etc.",1170201,0,0,0,0,
184,"Arveja seca",1170202,0,0,0,0,
185,"Habas secas para consumo en el hogar",1170203,0,0,0,0,
186,Lentejas,1170204,0,0,0,0,
187,Garbanzos,1170205,0,0,0,0,
188,"Verduras, hortalizas y legumbres enlatadas: arveja, fr�joles, ma�z, esp�rrago, zanahoria, habichuelas, ensalada",1170301,0,0,0,0,
189,"Aceitunas, alcaparras, pepinillos y otros encurtidos en tarro",1170302,0,0,0,0,
190,"Legumbres y hortalizas deshidratadas",1170303,0,0,0,0,
191,"Pl�tano verde para consumo en el hogar",1170401,0,0,0,0,
192,"Pl�tano maduro  para consumo en el hogar",1170402,0,0,0,0,
193,"Colicero, guineo, mataburro",1170403,0,0,0,0,
194,"Papa com�n: pastusa, tocarre�a, R12",1170501,0,0,0,0,
195,"Papa criolla o amarilla",1170502,0,0,0,0,
196,"Yuca para consumo en el hogar",1170601,0,0,0,0,
197,Arracacha,1170701,0,0,0,0,
198,�ame,1170801,0,0,0,0,
199,"Ullucos, cubios, hibias, chuguas, rubas",1170901,0,0,0,0,
200,"Papa, yuca y pl�tano precocidos ",1171101,0,"0,19","0,19","0,19",
201,"Harina de pl�tano, de yuca, de achiras, pur� de papas",1171102,0,"0,05","0,05","0,05",
202,"Otras ra�ces y tub�rculos: mafafa, achira, batata, etc",1179901,0,0,0,0,
203,"Az�car refinada",1180101,0,"0,05","0,05","0,05",
204,"Az�car natural o morena",1180102,0,"0,05","0,05","0,05",
205,"Endulzantes diet�ticos: aspartame, fructosa, sucralosa, otras",1180103,0,"0,05","0,05","0,05",
206,"Panela cruda para consumo en el hogar",1180201,0,0,0,0,
207,"Jaleas y mermeladas",1180301,0,"0,19","0,19","0,19",
208,"Compotas para consumo en el hogar",1180302,0,"0,19","0,19","0,19",
209,"Bocadillos para consumo en el hogar",1180303,0,0,0,0,
210,"Arequipe para consumo en el hogar",1180304,0,0,0,0,
211,"Herpos, tumes y otros dulces de arequipe y bocadillo para consumo en el hogar",1180305,0,"0,19","0,19","0,19",
212,"Gelatina de pata negra o blanca para consumo en el hogar",1180306,0,"0,19","0,19","0,19",
213,"Gelatinas, flanes y pudines,en vaso listos para el consumo en el hogar",1180307,0,"0,19","0,19","0,19",
214,"Miel de abejas, maple o arce, melazas y alm�bares",1180308,0,0,0,0,
215,"Pasta de chocolate para ponqu�, cobertura de chocolate y crema de avellana y cacao (Nutella)",1180401,0,"0,19","0,19","0,19",
216,"Dulces, confites, caramelos, bombones, chocolatinas, chicles, masmelos, cocadas para consumo en el hogar",1180501,0,"0,19","0,19","0,19",
217,"Helados, conos, paletas, vasitos, refrescos congelados y tortas heladas para consumo en el hogar",1180601,0,"0,19","0,19","0,19",
218,"Gelatinas, flanes y pudines en polvo para preparar",1180701,0,"0,19","0,19","0,19",
219,"Polvo para preparar helados",1180801,0,"0,19","0,19","0,19",
220,"Salsa de tomate",1190101,0,"0,19","0,19","0,19",
221,Mayonesa,1190102,0,"0,19","0,19","0,19",
222,"Mostaza, salsa rosada",1190103,0,"0,19","0,19","0,19",
223,"Pasta de tomate",1190104,0,"0,19","0,19","0,19",
224,Vinagre,1190106,0,"0,19","0,19","0,19",
225,"Otras salsas: salsa de soya, salsa china, salsa t�rtara, salsa de aj�, aj� picante, etc",1190199,0,"0,19","0,19","0,19",
226,"Sal  ",1190201,0,0,0,0,
227,Cominos,1190301,0,"0,19","0,19","0,19",
228,Pimienta,1190302,0,"0,19","0,19","0,19",
229,"Laurel ",1190303,0,"0,19","0,19","0,19",
230,Tomillo,1190304,0,"0,19","0,19","0,19",
231,Color,1190305,0,"0,19","0,19","0,19",
232,"Ajo en polvo o en pasta, canela, clavos, nuez moscada",1190306,0,"0,19","0,19","0,19",
233,"Hierbas culinarias: perejil, cilantro, romero, or�gano, etc.",1190401,0,"0,19","0,19","0,19",
234,"Sopas: de vegetales, de carne, de pollo, de pescado, cremas de sobre, sopas para beb� para consumo en el hogar
",1190501,0,"0,19","0,19","0,19",
235,"Caldos y consom�s concentrados (cubos y polvo) ",1190502,0,"0,19","0,19","0,19",
236,"Bases para preparar carnes y otros alimentos",1190503,0,"0,19","0,19","0,19",
237,"Frituras: papas fritas, chitos, maizitos, patacones, besitos, etc",1190601,0,"0,19","0,19","0,19",
238,"Levaduras y esencias (polvo para hornear)",1190701,0,"0,19","0,19","0,19",
239,"Mercados sin especificar productos",1190901,0,,0,"0,19","goods with different tax rates"
240,Anchetas,1191001,0,,0,"0,19","goods with different tax rates"
241,"Leche en polvo para lactantes",1191101,0,0,0,0,
242,"Otros alimentos precocidos y preparados: ajiaco, lenteja, frijol, lechona enlatada y similares",1199901,0,"0,19","0,19","0,19",
243,"Caf� molido",1210101,0,"0,05","0,05","0,05",
244,"Caf� o crema instant�neo en polvo o granulado",1210102,0,"0,05","0,05","0,05",
245,"Caf� en grano",1210103,0,"0,05","0,05","0,05",
246,"Extractos y esencias de caf�",1210105,0,"0,05","0,05","0,05",
247,"Otras bebidas preparadas a base de caf�: capuchino, mocachino, caf� con leche, caf� en lata para consumo en el hogar",1210199,0,"0,05","0,05","0,05",
248,"Chocolate en pastillas (con y sin az�car)",1210201,0,"0,05","0,05","0,05",
249,"Chocolate instant�neo en polvo o granulado",1210202,0,"0,19","0,19","0,19",
250,"Cocoa y chucula  ",1210203,0,"0,19","0,19","0,19",
251,"Polvo para preparar bebidas achocolatadas",1210204,0,"0,19","0,19","0,19",
252,"Bebidas achocolatadas listas para consumir",1210205,0,"0,19","0,19","0,19",
253,"T� en polvo (para preparar)",1210301,0,"0,19","0,19","0,19",
254,"Hierbas arom�ticas (secas y frescas), mate para consumo en el hogar
",1210302,0,"0,19","0,19","0,19",
255,"Agua mineral (con y sin gas) para consumo en el hogar",1220101,0,0,0,0,
256,"Agua en lata o de carrotanque",1220201,0,0,0,0,
257,"Hielo ",1220301,0,0,0,0,
258,"Gaseosas para consumo en el hogar",1220401,0,"0,128","0,128","0,128",
259,"Maltas para consumo en el hogar",1220501,0,"0,128","0,128","0,128",
260,"Refrescos l�quidos empacados (jugos, t� fr�os y bebidas hidratantes) para consumo en el hogar",1220601,0,"0,128","0,128","0,128",
261,"Concentrados para preparar refrescos",1220701,0,"0,19","0,19","0,19",
262,"Bebidas energizantes (a base de glucosa, guaran�, cafe�na, entre otros) para consumo en el hogar",1220801,0,"0,128","0,128","0,128",
263,"Bebidas a base de arroz, soya, coco, quinua, almendra, etc (horchata, yogurt vegetariano) para consumo en el hogar",1220901,0,"0,128","0,128","0,128",
264,"Aguardiente para consumo en el hogar",2110101,0,"0,05","0,05","0,05",
265,"Ron para consumo en el hogar",2110201,0,"0,05","0,05","0,05",
266,"Whisky, brandy, vodka, ginebra, cognac, tequila y similares para consumo en el hogar",2110301,0,"0,05","0,05","0,05",
267,"Cremas de licor (de amareto, de whisky, etc.), sabaj�n y ponche crema para consumo en el hogar",2110401,0,"0,05","0,05","0,05",
268,"Otras bebidas alcoh�licas: aperitivos que no sean a base de vino, mezclas de cocteles para consumo en el hogar",2119901,0,"0,05","0,05","0,05",
269,"Vino, champa�a, jerez y aperitivos a base de vino para consumo en el hogar
",2120101,0,"0,05","0,05","0,05",
270,"Cerveza nacional e importada para consumo en el hogar",2130101,0,"0,128","0,128","0,128",
271,"Refajo preparado (embotellado o enlatado) para consumo en el hogar
",2130102,0,"0,128","0,128","0,128",
272,"Cigarrillos con filtro",2200101,0,"0,19","0,19","0,19",
273,"Cigarrillos sin filtro",2200102,0,"0,19","0,19","0,19",
274,"Tabacos y picadura para pipa o para armar cigarrillos",2200103,0,"0,19","0,19","0,19",
275,"Estupefacientes: coca�na, �xtasis, hero�na, marihuana, bazuco, crack, etc.",2300101,0,0,0,0,"special goods"
276,"Telas y materiales (fibras naturales o sinteticas) para la confecci�n de ropa de hombre, mujer, ni�o, ni�a y beb� ",3110101,1,"0,19","0,19","0,19",
277,"Camisas para hombre",3120101,1,"0,19","0,19","0,19",
278,"Camisetas, franelas, esqueletos, polos para hombre",3120102,1,"0,19","0,19","0,19",
279,"Calzoncillos, pantaloncillos, boxer para hombre",3120103,1,"0,19","0,19","0,19",
280,"Medias y calcetines para hombre",3120104,1,"0,19","0,19","0,19",
281,"Pantalones para hombre",3120105,1,"0,19","0,19","0,19",
282,"Jeans para hombre",3120106,1,"0,19","0,19","0,19",
283,"Bermudas, pantalonetas y pantal�n corto para hombre",3120107,1,"0,19","0,19","0,19",
284,"Vestido completo (s�lo pantal�n, chaqueta y/o chaleco) para hombre",3120108,1,"0,19","0,19","0,19",
285,"Blazers, chaquetas, chaquetones, chompas y sacos de sport en pa�o, cuero, gamuza y otros materiales para hombre",3120109,1,"0,19","0,19","0,19",
286,"Buzos, chalecos, sacos de lana y similares para hombre",3120110,1,"0,19","0,19","0,19",
287,"Gabardinas, gabanes, abrigos y sobretodos para hombre",3120111,1,"0,19","0,19","0,19",
288,"Capas e impermeables para hombre",3120112,1,"0,19","0,19","0,19",
289,"Sudaderas, trusas y bicicleteros para hombre",3120113,1,"0,19","0,19","0,19",
290,"Pantalonetas de ba�o para hombre",3120114,1,"0,19","0,19","0,19",
291,"Pijamas y batas para hombre",3120115,1,"0,19","0,19","0,19",
292,"Otros art�culos de vestir para hombre (depotivos y formales)",3120199,1,"0,19","0,19","0,19",
293,"Blusas y camisas para mujer",3120201,1,"0,19","0,19","0,19",
294,"Camisetas, franelas y bodies para mujer",3120202,1,"0,19","0,19","0,19",
295,"Pantalones, slacks y leggins ",3120203,1,"0,19","0,19","0,19",
296,"Shorts, bermudas y pantalonetas para mujer",3120204,1,"0,19","0,19","0,19",
297,"Jeans para mujer",3120205,1,"0,19","0,19","0,19",
298,"Faldas para mujer",3120206,1,"0,19","0,19","0,19",
299,"Brassieres, tops y sostenes para mujer",3120207,1,"0,19","0,19","0,19",
300,"Pantys (interiores) para mujer",3120208,1,"0,19","0,19","0,19",
301,"Media de lana y otros materiales diferente a velada para mujer",3120209,1,"0,19","0,19","0,19",
302,"Medias veladas para mujer",3120210,1,"0,19","0,19","0,19",
303,"Enaguas, fondos y combinaciones para mujer",3120211,1,"0,19","0,19","0,19",
304,"Vestidos confeccionados para mujer",3120212,1,"0,19","0,19","0,19",
305,"Buzos, chalecos, sacos de lana y similares, sacos de sport en cuero, pa�o, gamuza y otros materiales",3120213,1,"0,19","0,19","0,19",
306,"Blazers, chaquetas, chaquetones y sacos de sport en pa�o, cuero, gamuza y otros materiales para mujer",3120214,1,"0,19","0,19","0,19",
307,"Gabardinas, gabanes, abrigos y sobretodos para mujer",3120215,1,"0,19","0,19","0,19",
308,"Capas e impermeables para mujer",3120216,1,"0,19","0,19","0,19",
309,"Sudaderas, trusas y bicicleteros para mujer",3120217,1,"0,19","0,19","0,19",
310,"Trajes de ba�o para mujer",3120218,1,"0,19","0,19","0,19",
311,"Pijamas y batas para mujer",3120219,1,"0,19","0,19","0,19",
312,"Otros art�culos de vestir para mujer (deportivos y formales) ",3120299,1,"0,19","0,19","0,19",
313,"Camisas para ni�o",3120301,1,"0,19","0,19","0,19",
314,"Camisetas, franelas, esqueletos, polos para ni�o",3120302,1,"0,19","0,19","0,19",
315,"Calzoncillos, pantaloncillos, boxer para ni�o",3120303,1,"0,19","0,19","0,19",
316,"Medias y calcetines para ni�o",3120304,1,"0,19","0,19","0,19",
317,"Pantalones para ni�o",3120305,1,"0,19","0,19","0,19",
318,"Jeans para ni�o",3120306,1,"0,19","0,19","0,19",
319,"Bermudas, pantalonetas y pantal�n corto para ni�o",3120307,1,"0,19","0,19","0,19",
320,"Vestido completo (s�lo pantal�n, chaqueta y/o chaleco) para ni�o",3120308,1,"0,19","0,19","0,19",
321,"Blazers, chaquetas, chompas y sacos de sport en pa�o, cuero, gamuza y otros materiales para ni�o",3120309,1,"0,19","0,19","0,19",
322,"Buzos, chalecos, sacos de lana y similares para ni�o",3120310,1,"0,19","0,19","0,19",
323,"Gabardinas, gabanes, abrigos y sobretodo para ni�o",3120311,1,"0,19","0,19","0,19",
324,"Capas e impermeables para ni�o",3120312,1,"0,19","0,19","0,19",
325,"Sudaderas, trusas y bicicleteros para ni�o",3120313,1,"0,19","0,19","0,19",
326,"Pantalonetas de ba�o para ni�o",3120314,1,"0,19","0,19","0,19",
327,"Pijamas y batas para ni�o",3120315,1,"0,19","0,19","0,19",
328,"Otros art�culos de vestir para ni�o (deportivos y formales)",3120399,1,"0,19","0,19","0,19",
329,"Blusas y camisas para ni�a",3120401,1,"0,19","0,19","0,19",
330,"Camisetas, franelas y bodies para ni�a",3120402,1,"0,19","0,19","0,19",
331,"Pantalones, slacks y leggins para ni�a",3120403,1,"0,19","0,19","0,19",
332,"Shorts, bermudas y pantalonetas para ni�a",3120404,1,"0,19","0,19","0,19",
333,"Jeans para ni�a",3120405,1,"0,19","0,19","0,19",
334,"Faldas para ni�a",3120406,1,"0,19","0,19","0,19",
335,"Vestidos confeccionados para ni�a",3120407,1,"0,19","0,19","0,19",
336,"Enaguas, fondos, combinaciones para ni�a",3120408,1,"0,19","0,19","0,19",
337,"Pantys (interiores) para ni�a",3120409,1,"0,19","0,19","0,19",
338,"Brassieres, sostenes, tops  y acostumbradores para ni�a",3120410,1,"0,19","0,19","0,19",
339,"Media tobillera, media pantal�n, media media (velada, de lana y otros materiales) para ni�a",3120411,1,"0,19","0,19","0,19",
340,"Buzos, chalecos, sacos de lana y similares para ni�a",3120412,1,"0,19","0,19","0,19",
341,"Blazers, chaquetas, chaquetones y sacos de sport en pa�o, cuero, gamuza y otros materiales para ni�a",3120413,1,"0,19","0,19","0,19",
342,"Gabardinas, gabanes, abrigos y sobretodos para ni�a",3120414,1,"0,19","0,19","0,19",
343,"Capas e impermeables para ni�a",3120415,1,"0,19","0,19","0,19",
344,"Sudaderas, trusas y bicicleteros para ni�a",3120416,1,"0,19","0,19","0,19",
345,"Traje de ba�o para ni�a",3120417,1,"0,19","0,19","0,19",
346,"Pijamas y batas para ni�a",3120418,1,"0,19","0,19","0,19",
347,"Otros art�culos de vestir para ni�a (deportivos y formales)",3120499,1,"0,19","0,19","0,19",
348,"Camisas, franelas para beb�",3120501,1,"0,19","0,19","0,19",
349,"Vestidos confeccionados, mamelucos, etc. para beb�",3120502,1,"0,19","0,19","0,19",
350,"Escarpines, patines, mitones, zapatos de tela, medias, gorritos y bufandas para beb�",3120503,1,"0,19","0,19","0,19",
351,"Pijamas y talegos de dormir para beb�",3120504,1,"0,19","0,19","0,19",
352,"Buzos, ruanas, sacos de lana y similares para beb�",3120505,1,"0,19","0,19","0,19",
353,"Pa�ales de tela para beb�",3120506,1,"0,19","0,19","0,19",
354,"Pantalones de tela, pl�stico, caucho y similares para beb�",3120507,1,"0,19","0,19","0,19",
355,"Fajeros y cambiadores ",3120508,1,"0,19","0,19","0,19",
356,"Otros art�culos de vestir para beb�",3120599,1,"0,19","0,19","0,19",
357,"Uniformes (diario, gala, deportes)",3120601,1,"0,19","0,19","0,19",
358,"Corbatas y corbatines para hombre",3139701,1,"0,19","0,19","0,19",
359,"Correas, tirantas y calzonarias para hombre",3139702,1,"0,19","0,19","0,19",
360,"Pa�uelos y pa�oletas para hombre",3139703,1,"0,19","0,19","0,19",
